transit_date,station_complex_id,station_ridership,inside_zone
1/1/2024,157,2171,0
1/1/2024,614,29653,1
1/1/2024,438,2811,0
1/1/2024,223,2965,0
1/1/2024,399,4407,0
1/1/2024,155,2076,0
1/1/2024,319,4658,1
1/1/2024,149,1077,0
1/1/2024,220,827,0
1/1/2024,234,7880,1
1/1/2024,441,2032,0
1/1/2024,476,6376,0
1/1/2024,303,3172,0
1/1/2024,232,7813,1
1/1/2024,395,2668,0
1/1/2024,301,3014,0
1/1/2024,625,11581,1
1/1/2024,316,11338,1
1/1/2024,612,13722,1
1/1/2024,611,84398,1
1/1/2024,613,15154,1
1/1/2024,326,1890,1
1/1/2024,409,5307,1
1/1/2024,622,10755,1
1/1/2024,103,2119,1
1/1/2024,164,31208,1
1/1/2024,168,3913,1
1/1/2024,158,2913,0
1/1/2024,8,8344,0
1/1/2024,299,1872,0
1/1/2024,327,3567,1
1/1/2024,222,2238,0
1/1/2024,298,1598,0
1/1/2024,297,469,0
1/1/2024,437,630,0
1/1/2024,313,13478,0
1/1/2024,151,5962,0
1/1/2024,333,4417,1
1/1/2024,145,994,0
1/1/2024,276,9159,1
1/1/2024,314,6057,0
1/1/2024,407,5560,1
1/1/2024,471,13381,1
1/1/2024,17,6720,1
1/1/2024,413,4109,1
1/1/2024,623,20432,1
1/1/2024,156,1363,0
1/1/2024,321,2057,1
1/1/2024,309,4298,0
1/1/2024,393,3064,0
1/1/2024,436,812,0
1/1/2024,224,3,1
1/1/2024,107,2029,1
1/1/2024,153,7487,0
1/1/2024,296,1328,0
1/1/2024,324,3925,1
1/1/2024,165,5998,1
1/1/2024,228,5562,1
1/1/2024,22,971,1
1/1/2024,392,5305,0
1/1/2024,601,15119,1
1/1/2024,394,2312,0
1/1/2024,20,838,1
1/1/2024,308,3998,0
1/1/2024,320,4827,1
1/1/2024,624,14580,1
1/1/2024,619,13180,1
1/1/2024,300,2106,0
1/1/2024,150,718,0
1/1/2024,13,4918,1
1/1/2024,160,7096,0
1/1/2024,610,41729,1
1/1/2024,144,1503,0
1/1/2024,475,4650,0
1/1/2024,304,3079,0
1/1/2024,398,6618,0
1/1/2024,231,11126,1
1/1/2024,305,3397,0
1/1/2024,310,10588,0
1/1/2024,312,5662,0
1/1/2024,10,13017,1
1/1/2024,605,5116,0
1/1/2024,609,18971,1
1/1/2024,159,7987,0
