transit_date,station_complex_id,station_ridership
3/9/2025,316,8940
1/19/2025,605,6597
3/27/2025,118,5813
3/27/2025,160,7675
3/27/2025,405,23648
3/27/2025,312,11782
3/27/2025,398,22214
3/27/2025,145,3376
3/27/2025,440,7291
3/27/2025,158,8671
3/27/2025,316,21062
3/27/2025,20,4043
3/27/2025,146,7902
3/27/2025,476,20065
3/27/2025,306,7429
3/27/2025,298,4330
3/27/2025,393,11445
3/27/2025,14,15348
3/27/2025,475,14757
3/27/2025,147,7793
3/27/2025,107,5113
3/27/2025,231,18077
3/27/2025,439,10622
3/27/2025,150,1920
3/27/2025,119,22772
3/27/2025,224,11927
3/27/2025,10,21635
3/27/2025,409,9182
3/27/2025,477,25733
3/27/2025,154,5167
3/27/2025,333,15820
3/27/2025,13,9626
3/27/2025,321,6146
3/27/2025,605,18948
3/27/2025,16,11380
3/27/2025,165,17923
3/27/2025,319,11557
3/26/2025,162,18543
3/26/2025,145,3364
3/26/2025,605,18910
3/26/2025,325,4489
3/26/2025,312,11815
3/26/2025,22,4266
3/26/2025,324,13182
3/26/2025,321,6179
3/26/2025,405,24626
3/26/2025,409,8524
3/26/2025,228,23155
3/26/2025,157,7469
3/26/2025,477,26234
3/26/2025,232,12666
3/26/2025,298,4305
3/26/2025,396,14153
3/26/2025,437,2302
3/26/2025,306,7228
3/26/2025,277,15473
3/26/2025,14,15984
3/26/2025,150,1902
3/26/2025,10,22272
3/26/2025,119,22540
3/26/2025,404,16875
3/26/2025,316,21611
3/26/2025,309,9595
3/26/2025,407,12232
3/26/2025,165,17702
3/26/2025,313,30448
3/26/2025,146,7811
3/26/2025,103,2842
3/26/2025,156,3566
3/26/2025,220,2139
3/26/2025,276,16028
3/26/2025,475,15010
3/26/2025,403,22543
3/26/2025,16,11026
3/25/2025,232,12093
3/25/2025,144,5070
3/25/2025,312,11518
3/25/2025,8,11348
3/25/2025,477,25688
3/25/2025,119,21749
3/25/2025,169,14159
3/25/2025,158,8450
3/25/2025,476,19482
3/25/2025,150,1803
3/25/2025,437,2402
3/25/2025,405,24014
3/25/2025,154,4953
3/25/2025,145,3499
3/25/2025,303,7666
3/25/2025,316,20959
3/25/2025,298,4198
3/25/2025,311,13694
3/25/2025,10,21018
3/25/2025,321,5982
3/25/2025,20,4237
3/25/2025,413,14218
3/25/2025,103,2813
3/25/2025,475,14595
3/25/2025,220,2134
3/25/2025,438,9045
3/25/2025,14,15267
3/25/2025,309,9343
3/25/2025,404,16645
3/21/2025,440,7129
3/21/2025,403,19894
3/21/2025,320,9333
3/21/2025,168,10037
3/21/2025,103,3045
3/21/2025,393,10913
3/21/2025,438,8958
3/21/2025,321,5779
3/21/2025,118,6173
3/21/2025,319,9925
3/21/2025,232,13576
3/21/2025,325,3143
3/21/2025,165,15620
3/21/2025,13,9086
3/21/2025,405,17843
3/21/2025,309,9170
3/21/2025,162,16563
3/21/2025,158,8018
3/21/2025,301,8157
3/21/2025,228,19078
3/21/2025,16,13015
3/21/2025,312,11028
3/21/2025,395,10051
3/21/2025,477,24506
3/21/2025,300,5509
3/21/2025,409,9186
3/21/2025,298,4328
3/21/2025,17,9949
3/21/2025,333,11502
3/21/2025,476,18747
3/21/2025,404,14441
3/21/2025,439,10263
3/21/2025,119,24254
3/21/2025,407,13107
3/21/2025,313,29316
3/21/2025,475,13362
3/21/2025,306,5863
3/21/2025,224,10794
3/21/2025,9,23300
3/19/2025,277,15786
3/19/2025,147,8080
3/19/2025,154,5242
3/19/2025,232,12905
3/19/2025,168,13101
3/19/2025,301,8383
3/19/2025,413,13859
3/19/2025,319,11559
3/19/2025,403,22694
3/19/2025,297,1852
3/19/2025,329,6098
3/19/2025,477,26449
3/19/2025,304,6747
3/19/2025,392,20930
3/19/2025,157,7850
3/19/2025,393,11414
3/19/2025,118,5726
3/19/2025,162,18754
3/19/2025,316,21115
3/19/2025,144,4948
3/19/2025,398,21219
3/19/2025,407,13934
3/19/2025,409,8979
3/19/2025,326,5084
3/19/2025,299,5311
3/19/2025,300,5677
3/19/2025,224,13529
3/19/2025,404,16829
3/19/2025,405,24478
3/19/2025,10,18695
3/19/2025,395,10216
3/19/2025,439,10644
3/19/2025,169,14676
3/19/2025,220,2132
3/19/2025,476,20065
3/20/2025,312,11469
3/20/2025,396,14314
3/20/2025,321,6513
3/20/2025,297,1716
3/20/2025,311,13695
3/20/2025,145,3427
3/20/2025,162,19500
3/20/2025,14,15166
3/20/2025,224,12051
3/20/2025,156,3411
3/20/2025,436,2356
3/20/2025,228,23432
3/20/2025,10,18539
3/20/2025,319,11684
3/20/2025,118,5851
3/20/2025,438,8854
3/20/2025,147,7661
3/20/2025,309,9485
3/20/2025,475,14337
3/20/2025,169,14454
3/20/2025,477,26529
3/20/2025,165,18380
3/20/2025,439,10527
3/20/2025,476,19859
3/20/2025,168,13067
3/20/2025,232,13072
3/20/2025,301,8027
3/20/2025,160,7263
3/20/2025,403,23212
3/20/2025,605,17486
3/18/2025,158,8395
3/18/2025,395,10481
3/18/2025,329,5848
3/18/2025,22,4371
3/18/2025,301,8076
3/18/2025,392,20403
3/18/2025,144,5328
3/18/2025,232,12311
3/18/2025,300,5593
3/18/2025,320,10394
3/18/2025,398,21868
3/18/2025,306,5869
3/18/2025,477,26386
3/18/2025,298,4131
3/18/2025,333,16377
3/18/2025,319,11229
3/18/2025,404,16847
3/18/2025,439,10805
3/18/2025,14,15046
3/18/2025,224,13109
3/18/2025,476,19906
3/18/2025,228,23300
3/18/2025,311,13324
3/18/2025,405,23737
3/18/2025,169,14599
3/18/2025,119,22123
3/18/2025,407,13611
3/18/2025,297,1771
3/18/2025,303,7320
3/18/2025,475,14805
3/18/2025,310,26728
3/18/2025,220,2102
3/14/2025,404,14317
3/14/2025,147,7118
3/14/2025,162,18072
3/14/2025,154,5388
3/14/2025,409,9332
3/14/2025,398,21227
3/14/2025,306,6785
3/14/2025,394,8405
3/14/2025,224,10880
3/14/2025,477,24550
3/14/2025,301,8246
